Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,15/06/2025 00:00,Hard Rock Stadium,Al Ahly FC,Inter Miami CF,Group A,0 - 0
2,1,15/06/2025 16:00,TQL Stadium,FC Bayern München,Auckland City FC,Group C,10 - 0
3,1,15/06/2025 19:00,Rose Bowl Stadium,Paris Saint-Germain,Atlético de Madrid,Group B,4 - 0
4,1,15/06/2025 22:00,MetLife Stadium,Palmeiras,FC Porto,Group A,0 - 0
5,1,16/06/2025 02:00,Lumen Field,Botafogo,Seattle Sounders FC,Group B,2 - 1
6,1,16/06/2025 19:00,Mercedes-Benz Stadium,Chelsea FC,LAFC,Group D,2 - 0
7,1,16/06/2025 22:00,Hard Rock Stadium,CA Boca Juniors,SL Benfica,Group C,2 - 2
8,1,17/06/2025 01:00,Lincoln Financial Field,CR Flamengo,Espérance de Tunisie,Group D,2 - 0
9,1,17/06/2025 16:00,MetLife Stadium,Fluminense FC,Borussia Dortmund,Group F,0 - 0
10,1,17/06/2025 19:00,Lumen Field,CA River Plate,Urawa Red Diamonds,Group E,3 - 1
11,1,17/06/2025 23:05,Inter&Co Stadium,Ulsan HD,Mamelodi Sundowns FC,Group F,0 - 1
12,1,18/06/2025 01:00,Rose Bowl Stadium,CF Monterrey,FC Internazionale Milano,Group E,1 - 1
13,1,18/06/2025 16:00,Lincoln Financial Field,Manchester City,Wydad AC,Group G,2 - 0
14,1,18/06/2025 19:00,Hard Rock Stadium,Real Madrid C.F.,Al Hilal,Group H,1 - 1
15,1,18/06/2025 22:00,TQL Stadium,CF Pachuca,FC Salzburg,Group H,1 - 2
16,1,19/06/2025 01:00,Audi Field,Al Ain FC,Juventus FC,Group G,0 - 5
17,2,19/06/2025 16:00,MetLife Stadium,Palmeiras,Al Ahly FC,Group A,2 - 0
18,2,19/06/2025 19:00,Mercedes-Benz Stadium,Inter Miami CF,FC Porto,Group A,2 - 1
19,2,19/06/2025 22:00,Lumen Field,Seattle Sounders FC,Atlético de Madrid,Group B,1 - 3
20,2,20/06/2025 01:00,Rose Bowl Stadium,Paris Saint-Germain,Botafogo,Group B,0 - 1
21,2,20/06/2025 16:00,Inter&Co Stadium,SL Benfica,Auckland City FC,Group C,6 - 0
22,2,20/06/2025 18:00,Lincoln Financial Field,CR Flamengo,Chelsea FC,Group D,3 - 1
23,2,20/06/2025 22:00,GEODIS Park,LAFC,Espérance de Tunisie,Group D,0 - 1
24,2,21/06/2025 01:00,Hard Rock Stadium,FC Bayern München,CA Boca Juniors,Group C,2 - 1
25,2,21/06/2025 16:00,TQL Stadium,Mamelodi Sundowns FC,Borussia Dortmund,Group F,3 - 4
26,2,21/06/2025 19:00,Lumen Field,FC Internazionale Milano,Urawa Red Diamonds,Group E,2 - 1
